Plot,Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
2,4016,3,2.2,2,-1,1,0.2,1,-1,0,,0,,0,,0,,0,,0,,0,
2,4017,2,0.3,2,-1,,,0,,0,,0,,0,,0,,0,,0,,0,
2,5061,5,0.7,5,0.8,5,1,4,1.1,2,-1,0,,0,,0,,0,,0,,0,
3,16,3,40.9,3,41,3,41.1,0,,0,,0,,0,,0,,0,,0,,0,
3,30,2,-1,2,-1,,0.3,1,-1,0,,0,,0,,0,,0,,0,,0,
3,31,2,1,2,0.7,,,0,,0,,0,,0,,0,,0,,0,,0,
3,191,2,0.7,2,1.3,1,,0,,0,,0,,0,,0,,0,,0,,0,
3,193,3,7.4,3,7.8,,,0,,0,,0,,0,,0,,0,,0,,0,
3,959,2,1,2,1.1,,,0,,0,,0,,0,,0,,0,,0,,0,
3,5059,5,0.5,5,0.6,,,0,,0,,0,,0,,0,,0,,0,,0,
4,41,3,29,3,29.2,,,0,,0,,0,,0,,0,,0,,0,,0,
4,57,3,31.4,3,31.4,,,1,-1,0,,0,,0,,0,,0,,0,,0,
4,76,3,46.2,3,48.8,,,0,,0,,0,,0,,0,,0,,0,,0,
4,155,3,38.1,3,38.2,,,0,,0,,0,,0,,0,,0,,0,,0,
4,190,2,26.9,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,
4,306,2,0.3,2,0.9,,,0,,0,,0,,0,,0,,0,,0,,0,
5,362,2,1,2,1,,,0,,0,,0,,0,,0,,0,,0,,0,
5,4014,3,5.1,5,5.6,2,5.6,0,-1,0,,0,,0,,0,,0,,0,,0,
6,94,,,2,2.2,5,2.3,0,,0,,0,,0,,0,,0,,0,,0,
6,442,3,21.6,2,0.6,,,0,,0,,0,,0,,0,,0,,0,,0,
6,449,2,1.2,2,1.3,,,0,,0,,0,,0,,0,,0,,0,,0,
6,3008,2,10.7,2,0.2,,,0,,0,,0,,0,,0,,0,,0,,0,
7,4019,2,11.4,2,11.9,1,0.3,,-1,0,,0,,0,,0,,0,,0,,0,
8,377,2,10.2,2,0.3,,,0,,0,,0,,0,,0,,0,,0,,0,
8,396,2,5.8,2,0.4,,,0,,0,,0,,0,,0,,0,,0,,0,
8,1578,2,23.1,2,24.4,2,25,0,,0,,0,,0,,0,,0,,0,,0,
9,169,2,0.1,2,-1,,,0,,0,,0,,0,,0,,0,,0,,0,
9,513,2,36.1,2,58.1,2,38.4,2,-1,0,,0,,0,,0,,0,,0,,0,
9,515,2,3,0,0,,,0,,0,,0,,0,,0,,0,,0,,0,
9,2100,2,7.9,2,-1,,,0,,0,,0,,0,,0,,0,,0,,0,
9,2117,5,9.9,2,9.8,1,10,0,,0,,0,,0,,0,,0,,0,,0,
9,4050,5,3.7,2,3.7,,,0,,0,,0,,0,,0,,0,,0,,0,
9,5050,5,1.6,5,1.6,1,1.7,0,,0,,0,,0,,0,,0,,0,,0,
