"","Tree ID","Lifespan after infection","DBH at Infection","Plot","Treatment"
"1",4016,3,2,2,"0"
"2",4017,2,1,2,"0"
"3",5061,2,1,2,NA
"4",16,15,4,3,"1"
"5",30,NA,NA,3,NA
"6",31,NA,1,3,NA
"7",191,5,1,3,"0"
"8",193,5,2,3,"0"
"9",959,3,1,3,"0"
"10",5059,0,1,3,NA
"11",41,11,4,4,"1"
"12",57,9,4,4,"1"
"13",76,8,4,4,"1"
"14",155,6,4,4,"0"
"15",190,5,4,4,"0"
"16",306,4,1,4,"0"
"17",362,4,1,5,"0"
"18",4014,4,2,5,"1"
"19",94,8,NA,6,"1"
"20",442,4,4,6,"0"
"21",449,4,2,6,"0"
"22",3008,3,3,6,"0"
"23",4019,2,3,7,"1"
"24",377,4,3,8,"0"
"25",396,4,2,8,"0"
"26",1578,1,4,8,"1"
"27",169,6,1,9,"0"
"28",513,5,4,9,"1"
"29",515,3,2,9,"0"
"30",2100,3,2,9,"0"
"31",2117,3,2,9,"0"
"32",4050,2,2,9,"1"
"33",5050,0,2,9,NA
"34",5056,0,2,9,NA
"35",2022,2,2,10,"1"
"36",2036,5,4,10,"1"
"37",2313,1,3,10,"1"
"38",2531,2,4,12,"1"
"39",5051,0,2,9,NA
"40",5034,0,1,12,NA
"41",423,11,3,1,"1"
"42",436,11,3,1,"0"
"43",4052,NA,4,1,"1"
"44",4053,8,4,1,"0"
"45",4054,6,4,1,"1"
"46",4055,8,4,1,"1"
"47",4056,7,4,1,"0"
"48",4057,3,3,1,"1"
"49",4058,NA,4,1,"1"
"50",4059,NA,3,1,"0"
"51",4060,NA,1,1,NA
"52",4061,9,4,1,"0"
"53",4062,9,4,1,"1"
"54",4063,11,4,1,"1"
"55",4064,12,4,1,"1"
"56",4065,7,4,1,"0"
"57",4066,10,2,1,"1"
"58",4067,1,3,1,NA
"59",4068,NA,4,1,"1"
"60",4069,11,4,1,"1"
"61",4070,3,3,1,"0"
"62",4071,5,3,1,"1"
"63",4072,6,2,1,"1"
"64",4073,2,4,1,"0"
"65",29,13,4,2,"1"
"66",34,NA,4,2,"1"
"67",38,NA,NA,2,"1"
"68",48,14,3,2,"1"
"69",52,13,4,2,"1"
"70",53,11,NA,2,"1"
"71",54,NA,4,2,"1"
"72",62,NA,4,2,"1"
"73",63,18,NA,2,"1"
"74",64,19,4,2,"1"
"75",65,18,4,2,"1"
"76",66,NA,4,2,"1"
"77",70,NA,4,2,"1"
"78",77,13,4,2,"1"
"79",79,14,4,2,"1"
"80",111,NA,4,2,"1"
"81",112,16,4,2,"1"
"82",113,16,4,2,"1"
"83",114,10,4,2,"1"
"84",115,NA,4,2,"1"
"85",116,NA,4,2,"1"
"86",118,NA,NA,2,NA
"87",149,16,3,2,"0"
"88",164,NA,2,2,"1"
"89",194,5,3,2,"0"
"90",195,15,2,2,"1"
"91",282,15,NA,2,"1"
"92",293,6,NA,2,"0"
"93",321,4,3,2,"0"
"94",326,4,3,2,"0"
"95",830,NA,4,2,"1"
"96",831,NA,4,2,"1"
"97",832,NA,2,2,"0"
"98",833,1,3,2,"0"
"99",837,4,2,2,"0"
"100",839,1,2,2,"1"
"101",4015,3,1,2,"0"
"102",4058,6,2,2,"1"
"103",4059,5,2,2,"0"
"104",4060,NA,2,2,NA
"105",5058,7,2,2,NA
"106",5062,2,2,2,NA
"107",NA,1,NA,2,NA
"108",6,NA,4,3,"1"
"109",8,20,NA,3,"0"
"110",9,16,4,3,"1"
"111",12,NA,4,3,"1"
"112",13,NA,4,3,"1"
"113",14,14,1,3,"1"
"114",15,NA,4,3,"1"
"115",17,NA,4,3,"1"
"116",45,11,NA,3,"1"
"117",51,9,4,3,"0"
"118",74,8,2,3,"0"
"119",75,NA,4,3,"1"
"120",97,13,4,3,"1"
"121",98,NA,3,3,"1"
"122",160,6,2,3,"0"
"123",187,NA,4,3,"1"
"124",281,5,NA,3,"1"
"125",328,13,2,3,"0"
"126",330,8,2,3,"1"
"127",4018,NA,2,3,"0"
"128",4055,NA,NA,3,"1"
"129",4056,4,2,3,"0"
"130",4123,0,2,3,"0"
"131",5026,6,1,3,NA
"132",5027,3,1,3,NA
"133",5028,NA,1,3,NA
"134",5029,3,1,3,NA
"135",5060,2,1,3,NA
"136",5108,1,NA,3,NA
"137",5109,1,NA,3,NA
"138",NA,NA,3,3,NA
"139",NA,NA,2,3,NA
"140",22,19,4,4,"1"
"141",24,13,4,4,"1"
"142",26,18,4,4,"1"
"143",27,NA,4,4,"1"
"144",40,NA,4,4,"1"
"145",46,14,2,4,"1"
"146",56,16,4,4,"1"
"147",189,8,2,4,"0"
"148",192,NA,4,4,"1"
"149",305,NA,4,4,"0"
"150",307,4,4,4,"0"
"151",308,NA,NA,4,"1"
"152",530,13,2,4,"1"
"153",885,12,4,4,"1"
"154",5030,8,2,4,NA
"155",161,10,1,5,"0"
"156",359,4,3,5,"0"
"157",360,7,4,5,"1"
"158",361,7,4,5,"1"
"159",363,3,4,5,"1"
"160",364,10,4,5,"1"
"161",365,4,3,5,"0"
"162",684,9,4,5,"1"
"163",685,11,3,5,"1"
"164",686,8,2,5,"1"
"165",687,11,4,5,"1"
"166",689,7,2,5,"0"
"167",690,3,3,5,"1"
"168",691,3,3,5,"1"
"169",692,5,3,5,"0"
"170",693,0,2,5,"1"
"171",694,NA,2,5,"1"
"172",695,NA,4,5,"1"
"173",696,8,3,5,"1"
"174",703,8,3,5,"1"
"175",704,7,2,5,"1"
"176",705,1,2,5,"0"
"177",706,8,3,5,"1"
"178",707,4,2,5,"0"
"179",942,1,3,5,"1"
"180",943,6,2,5,"1"
"181",944,2,2,5,"1"
"182",945,5,3,5,NA
"183",946,1,2,5,"0"
"184",947,3,2,5,"0"
"185",948,4,2,5,"0"
"186",949,4,2,5,"1"
"187",950,7,2,5,"1"
"188",4009,0,2,5,"0"
"189",4010,7,2,5,"1"
"190",4011,1,2,5,"0"
"191",4012,4,2,5,"1"
"192",4013,4,2,5,"0"
"193",4104,3,2,5,NA
"194",4105,2,2,5,NA
"195",4106,8,2,5,"0"
"196",4107,3,2,5,NA
"197",4108,5,2,5,"1"
"198",4109,2,2,5,"0"
"199",4110,9,2,5,NA
"200",4111,0,2,5,NA
"201",4112,6,2,5,NA
"202",4113,0,2,5,"0"
"203",4114,8,2,5,"1"
"204",4115,3,2,5,NA
"205",4116,NA,2,5,NA
"206",4117,2,2,5,"0"
"207",4118,0,2,5,"0"
"208",4119,0,2,5,NA
"209",4120,2,1,5,"0"
"210",4121,9,2,5,NA
"211",4122,NA,2,5,"0"
"212",5009,5,2,5,NA
"213",5010,2,1,5,NA
"214",5011,2,1,5,NA
"215",5012,2,2,5,NA
"216",5013,0,2,5,NA
"217",5014,2,1,5,NA
"218",5015,0,2,5,NA
"219",5016,3,2,5,NA
"220",5017,6,2,5,NA
"221",5018,3,1,5,NA
"222",5019,1,1,5,NA
"223",5020,3,2,5,NA
"224",5021,0,1,5,NA
"225",5023,2,1,5,NA
"226",5024,2,2,5,NA
"227",5025,5,2,5,NA
"228",5100,0,2,5,NA
"229",5102,2,NA,5,NA
